"The file is too large to be processed by the web server. Please, try to resize it and try again.","El fichero es demasiado grande para ser procesado por el servidor. Por favor, intente reducirlo y enviarlo de nuevo."
"Incorrect request data.","Información incorrecta en la petición."
"Product not exists.","El producto no existe."
"This action may take some MINUTES. Please be patient still the file is placed in the cart","Esta acción puede tardar unos MINUTOS. Por favor, espere mientras añadimos el fichero en el carrito"
